ts;vOutsideTemp;vSupplyTemp;vReturnTemp;
09.04.2021 04:00:00;-0.8;53.2;45.2;
09.04.2021 05:00:00;-1.2;53.9;44.8;
09.04.2021 06:00:00;-0.5;60.9;47.4;
09.04.2021 07:00:00;0.5;60.3;47.1;
09.04.2021 08:00:00;6.2;56.7;49.0;
09.04.2021 09:00:00;6.6;54.6;46.1;
09.04.2021 10:00:00;6.3;44.2;38.7;
09.04.2021 11:00:00;7.9;43.6;37.6;
09.04.2021 12:00:00;10.4;36.1;36.1;
09.04.2021 13:00:00;11.9;40.2;37.9;
09.04.2021 14:00:00;12.5;43.6;36.6;
09.04.2021 15:00:00;13.8;36.0;35.7;
09.04.2021 16:00:00;15.8;35.3;35.1;
09.04.2021 17:00:00;15.4;36.2;35.8;
09.04.2021 18:00:00;14.2;35.0;34.9;
09.04.2021 19:00:00;13.2;39.3;35.0;
09.04.2021 20:00:00;10.4;43.6;37.1;
09.04.2021 21:00:00;8.4;54.8;47.9;
09.04.2021 22:00:00;7.0;57.7;47.8;
09.04.2021 23:00:00;5.9;54.8;49.7;
